chem,feat,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
Latrunculin B,Nucleus_RNA_Axial,Mahalanobis distance (cutoff = 1),13,0.8518946031153483,exp5,50.643335417196006,2.2959854632882135,NA,NA,43.14278412566965,2.1497908054226182,NA,3.810209164171522,NA,0.3171265515958035,1.1492058196026047,0.7941495109288278,0.8863624218848933,9.027932007076396e-17,-44.5926178887339,0.9999999999977199,3.810209164171522,NA,43.14278412566965,1.134907564763689,1.5862733670015006,2.2489364322778815,0.7313471758856108,0.7313471758856108,0.8419958919051718,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,39.3288149806694|41.6649862138384|41.4702776632119|19.0105213608028|14.5272880630578|15.7932108054884|1.54698774720805|2.34935785980603|1.35150902345367|-0.590296357694799|-0.259902093130005|-0.703862288251002|4.22669209694487|6.88848418447586|4.73028964951588|0.492934398068833|0.134446909362873|0.0012179562106458|0.184429946982606|-0.241253770309576|2.53528279962698,dt4,Definitive_rep3
Latrunculin B,Nucleus_RNA_Compactness,Mahalanobis distance (cutoff = 1),14,0.8518946031153483,pow,78.41331768476591,2.0540006988964454,5.420502056850195,NA,NA,1.2464683655281648,NA,NA,NA,0.35594630383652104,1.1492058196026047,0.2832485657413411,0.29341822173150195,1.203368951260193e-21,-43.57305800655082,0.999999999999979,4.300856349877816,NA,66.79988214802138,0.6780914792504558,1.182482203694829,2.06205829868351,0.2265976915108018,0.2265976915108018,0.28811092875945665,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,65.1834550769112|67.028039131315|68.088694463905|23.2116133510183|23.1547139639455|18.5103678317979|4.93951724863423|9.83760337987056|6.76624022516612|0.114156816348488|-0.174982875393058|-0.10606971544081|-0.00819130400958967|0.332463150963327|1.21482980240503|5.5686597153197|1.05610064799433|1.49845063782045|0.484124474971772|0.501103070570521|2.06836222523659,dt4,Definitive_rep3
Latrunculin B,Cell_DNA_Radial,Mahalanobis distance (cutoff = 1),12,0.8518946031153483,exp5,32.43502195300486,3.980486322694388,NA,NA,27.631220153692684,7.999999744795412,NA,0.7108505664750394,NA,0.6769440021463828,1.1492058196026047,0.30672507303226026,0.5791356750645135,1.5130351034979226e-15,-54.335189477658574,0.9999999999999547,0.7108505664750394,NA,27.631220153692684,0.5133726180804763,0.5617070359475753,0.6169474475863481,0.48266539154453614,0.48266539154453614,0.5014167402177726,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,27.8382430434753|27.8956658558509|26.6204172331479|21.1010941470737|24.1426050635841|27.2695200854|33.3948815338432|35.0626563188635|40.9231210184826|-0.272727557743858|-0.181731795520435|-0.569899613549309|-0.111869917970952|-0.153128372577027|-0.131642274225879|-0.676590122707237|0.899637121624221|0.0716610558071544|0.0195740179711109|2.70402596587176|1.53712550193999,dt4,Definitive_rep3
Latrunculin B,Cell_Mito_Axial,Mahalanobis distance (cutoff = 1),20,0.8518946031153483,exp2,30.585854204333074,2.197488429811775,8.298166601625525,5.279137929679006,NA,NA,NA,NA,NA,0.5980773684719749,1.1492058196026047,0.6583282984366056,0.7151944021504856,8.514297355129808e-12,-46.798441924872364,0.9999999987202303,4.982969949883097,NA,26.05592412834423,0.7698502802538995,1.441590002641475,2.572774909353201,0.5159088711181796,0.5159088711181796,0.684715028323812,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,28.171688416064|26.1137891163314|23.9547820399454|4.93925977203418|6.87969363822019|7.63758101687067|1.12569349622609|1.55945584248744|2.33677808195807|0.916903503360775|3.55709987726411|2.42679663539603|3.19378243079583|3.4108614480212|1.76543988551126|3.21136525642667|2.21984873345972|1.81858130135817|-0.66661338793836|1.19691337076913|5.70812690297294,dt4,Definitive_rep3
Latrunculin B,Cell_Mito_Compactness,Mahalanobis distance (cutoff = 1),19,0.8518946031153483,exp2,48.890847269127654,2.4205409409177205,83.68177926019047,18.567022595469652,NA,NA,NA,NA,NA,0.27775971343094663,1.1492058196026047,0.24510713153929456,0.2616435278872993,7.470648250951973e-18,-44.033528090410904,0.9999999999999858,4.126148634288971,NA,41.64984893030661,0.4564005004212801,0.9018507419277187,1.7619178535302502,0.18805979207281476,0.18805979207281476,0.2532468243522391,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,41.5702716325038|39.6225160419529|44.0444721197569|16.691935923363|16.1261901301774|13.959829374534|3.73742663005304|3.14364851686801|5.4445000701302|1.21649213196914|2.19876645319417|1.10292539531918|1.0716400460633|1.47749598924661|1.15492826482233|1.7420875990332|0.24628216550762|0.221038670664793|0.932707672530997|7.32699618136421|6.84873991165936,dt4,Definitive_rep3
Latrunculin B,Cell_AGP_Radial,Mahalanobis distance (cutoff = 1),16,0.8518946031153483,hill,54.59268551649739,1.7580588414559153,NA,NA,46.50721416107756,1.9757953542814146,NA,2.083113156182797,NA,0.29034231175583003,1.1492058196026047,0.3055083372728189,0.34277408172724017,3.0354405243455285e-21,-41.057572382027494,0.9999999999999996,2.083113156182797,NA,46.50721416107756,0.46935702503747667,0.6850883673264833,1.0327496894334818,0.2776954897452581,0.2776954897452581,0.32419569773741425,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,42.3592127620139|43.6543350527364|43.2832991021747|31.1704274421542|31.8397290950347|34.3259281382126|8.26496568085961|8.68025004959174|10.3532888991435|0.153051133026363|0.656079550867124|0.335527579059543|2.30883071201889|1.67359071883676|0.636705330012953|2.84120018677662|2.38244718279614|1.56670004437937|0.230352729522964|1.82874982143525|5.21573032120192,dt4,Definitive_rep3
Latrunculin B,Cell_AGP_Axial,Mahalanobis distance (cutoff = 1),10,0.8518946031153483,exp2,22.2940544431452,0.9946601293216139,2.2906625004798786,3.3646464174732316,NA,NA,NA,NA,NA,-0.24951766266029346,1.1492058196026047,1.3295103657781835,1.4101069926893783,6.1493658773711186e-15,-29.722459705235835,0.999999995992718,5.511746242971382,NA,18.992184661675147,1.166913607016639,2.031678643220758,3.2894772460483446,1.0638869158345243,1.0638869158345243,1.368038700956681,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,21.2770904246253|19.0621032881696|17.1110685913454|3.06128436298078|3.30967814464196|3.76318492951647|1.93433505929264|2.56330881677598|2.61990704711677|-0.630300815521562|-0.4809968518672|-0.686282552387529|-0.247730560578319|0.870095934560956|-0.281058031232743|0.644425156465214|0.202177320579463|-0.0633229792946138|-0.67001167316731|0.158748002791326|0.184315657493278,dt4,Definitive_rep3
Latrunculin B,Cell_AGP_Compactness,Mahalanobis distance (cutoff = 1),19,0.8518946031153483,pow,62.461600650401394,3.1354826600416468,15.353270831855331,NA,NA,0.6168688843835222,NA,NA,NA,0.9489758498718524,1.1492058196026047,0.013782732153199155,0.016134004613002455,7.688556709977105e-18,-54.37855721834252,0.9999999999999483,2.4381731134953157,NA,53.21070049602307,0.05834108545960091,0.17946147405412582,0.5520367064816005,0.009208963447145354,0.009208963447145354,0.014961385900941369,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,50.7367950135722|58.0338149119788|51.6463026443164|32.2595308803929|31.7450326720503|29.635545170604|18.4936795391623|19.9038653655161|21.8264178388535|1.68818922346451|1.94429796032419|3.4425215966617|2.98299825229323|3.39365360349521|1.44417675339213|3.99622975180594|0.942181672007965|1.5255438374027|-0.345458644665921|2.15152637564738|-0.228005246450292,dt4,Definitive_rep3
Latrunculin B,Cell_ER_Radial,Mahalanobis distance (cutoff = 1),16,0.8518946031153483,hill,59.925222026596344,1.796716821360499,NA,NA,51.04997323494642,1.9057786074566043,NA,2.162161494663019,NA,0.3667428259376705,1.1492058196026047,0.28281216420510025,0.3156811168553338,1.9468314740862715e-21,-42.21835624415866,0.999999999999998,2.162161494663019,NA,51.04997323494642,0.4612120448098066,0.6826185325569463,1.0446607023152132,0.2546688392735808,0.2546688392735808,0.29891614861684346,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,45.5043965453371|50.8744244189998|46.5764976550524|32.8420971234146|35.2835095257261|34.2712294292534|9.09218384595777|9.78479332083906|11.6757937008901|-0.749504174584265|-0.0974271904890029|-0.408818846226255|0.645767505427903|0.367828977575952|0.904984212161874|1.92146903027605|1.60445316770066|0.956193527984056|1.47804362196894|1.80881755173791|4.32181116543366,dt4,Definitive_rep3
Latrunculin B,Cell_ER_Axial,Mahalanobis distance (cutoff = 1),15,0.8518946031153483,poly1,30.52181896894392,1.6145027056233936,3.466849714254265,NA,NA,NA,NA,NA,NA,0.31027992658718817,1.1492058196026047,0.3143866758651943,0.35163147257078625,3.111766600866624e-16,-40.58648442248471,0.9999999999860213,3.75,NA,26.001372856906986,0.375,0.75,1.5,0.24572585295887123,0.24572585295887123,0.3314841756415173,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,26.9261184551129|25.9735603464876|23.3618115108848|10.0842504999657|11.5373617935529|14.6424607529285|2.96097873293091|4.26426236587139|5.25543328405533|-0.498505350159451|0.317882823085613|-0.543194811400962|1.68681223165519|1.6887323771046|0.597910894542668|1.71057828671138|2.09908893364639|0.716141515815537|0.0814569530710837|1.41634791768343|3.17915879447978,dt4,Definitive_rep3
Latrunculin B,Cell_ER_Compactness,Mahalanobis distance (cutoff = 1),19,0.8518946031153483,exp5,67.07904714663992,2.270950878129083,NA,NA,57.14427824634255,1.384322791642382,NA,3.093988966118448,NA,0.6120896286827995,1.1492058196026047,0.22535133580728403,0.26034342335125243,7.863910096867851e-19,-47.28982086828814,0.9999999999999734,3.093988966118448,NA,57.14427824634255,0.47171820078951254,0.7934316335746732,1.3643825112822736,0.19425629324839125,0.19425629324839125,0.24161321592795748,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,49.3929776167043|54.8489339332455|51.5941530205582|31.8025543866454|29.1759186200432|23.156663524773|9.58536896890595|5.82116876140897|7.54389845328143|1.40515256829749|1.15277455587134|1.17489586774729|3.85040417938676|2.46637498529499|0.63342957053256|3.47548619688706|1.39355098099321|1.47949441002331|-0.221450187873911|2.29464132200866|2.21040199164017,dt4,Definitive_rep3
Latrunculin B,Nucleus_DNA_Profile,Mahalanobis distance (cutoff = 1),11,0.8518946031153483,poly1,80.65292791143352,2.231441537847941,9.161039201760193,NA,NA,NA,NA,NA,NA,0.539582070079134,1.1492058196026047,0.12072813752050826,0.13003687908420958,3.8825160590047437e-22,-46.53666996569038,0.9999999999999782,3.75,NA,68.70779401320145,0.37500000000000006,0.7500000000000001,1.5000000000000002,0.09299104439501428,0.09299104439501428,0.12544491888887424,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,63.3106015089675|72.3110593419347|67.7890477165732|28.6186565277161|33.1311958180966|29.651980522644|8.29256646684247|9.71954955007592|10.4327277497321|-0.46009405638141|-0.205193086496036|-0.600874436107849|-0.259267730332199|-0.448973045420517|0.19483884343134|-0.589179796069589|0.367977324066646|0.18793614414723|0.294569878611145|1.35385476599042|1.39626239341798,dt4,Definitive_rep3
Latrunculin B,Nucleus_DNA_Radial,Mahalanobis distance (cutoff = 1),15,0.8518946031153483,poly1,59.626612945903474,3.500096068047678,6.772745302755057,NA,NA,NA,NA,NA,NA,0.9120703425218923,1.1492058196026047,0.16145364809972665,0.17975682620030053,5.615563934976125e-16,-55.02768007718378,0.9999999999992586,3.75,NA,50.79558977066293,0.37500000000000006,0.7500000000000001,1.5000000000000002,0.12578276090920024,0.12578276090920024,0.1696809444665111,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,53.7132413300586|47.2080830529615|51.9242461349099|22.0280450527013|19.1581255908436|19.1544839531645|7.86856817348381|8.07425049564277|9.07073983053592|-0.170894521878376|1.09978824413228|0.0291709898256918|7.88200761566189|9.11376816410988|9.07075706891972|-0.590033807656293|-0.245956967907228|-0.117320633804195|0.639783636702458|1.79558694410684|2.73673064427693,dt4,Definitive_rep3
Latrunculin B,Nucleus_DNA_Axial,Mahalanobis distance (cutoff = 1),13,0.8518946031153483,poly1,47.42140367603501,2.058350015313701,5.386405048502475,NA,NA,NA,NA,NA,NA,0.5384491659099659,1.1492058196026047,0.20472417819226363,0.22278879267390372,1.3500272405291009e-17,-45.54316929005834,0.9999999999975502,3.7500000000000004,NA,40.398037863768565,0.37500000000000006,0.7500000000000001,1.5000000000000002,0.15815643187698844,0.15815643187698844,0.21335302660205738,7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01,40.3963944029228|39.4594664958407|42.6404883007912|15.1591418387741|12.1112699186504|18.1903244478982|5.10229095396158|6.39277320453602|7.40952015635683|-0.423215843713159|-0.479006335406125|-0.491682610684978|3.0174426415232|4.10861502599913|4.1196682746429|-0.228115976004138|-0.740831540776027|-0.737141272963149|0.0635926746151894|-0.0915929661807653|1.12610162475617,dt4,Definitive_rep3
