chem,feat,assay,n_gt_cutoff,cutoff,fit_method,top_over_cutoff,rmse,a,b,tp,p,q,ga,la,er,bmr,bmdl,bmdu,caikwt,mll,hitcall,ac50,ac50_loss,top,ac5,ac10,ac20,acc,ac1sd,bmd,conc,resp,errfun,exp
Tetrandrine,Cell_AGP_Axial,Mahalanobis distance (cutoff = 1),10,0.8589065274341403,exp4,7.608837887006297,0.8781409808546525,NA,NA,6.535280527337901,NA,NA,4.711412008696975,NA,-0.32751273957007676,1.1586649055086553,1.0126944099443032,1.7849732594650145,1.0297441114097754e-8,-31.38631124334428,0.9999965887084857,4.711412008696975,NA,6.535280527337901,0.34864722806476917,0.7161491998160967,1.516735892189258,0.9577335602677568,0.9577335602677568,1.3265019575057548,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,5.44606710914607|4.06417935123498|6.40419889426484|1.64063305889368|2.88564841950815|3.32738221317349|2.80721201995667|1.30436166914807|-0.0609569409486185|0.533562754517548|0.0708691407274823|-0.762997728498383|-0.526505873903784|-0.120204873520728|-0.374941479288907|-0.420596538938313|0.961999974220431|-0.419542276658662|0.704705160230996|2.25854606250084|0.254100525521176|0.590801424000725|-0.593465892313431|0.260597027967427,dt4,Definitive_rep1
Tetrandrine,Cell_AGP_Compactness,Mahalanobis distance (cutoff = 1),23,0.8589065274341403,exp5,33.46868083884641,2.5308775621948993,NA,NA,28.746468437095118,2.7834760931908704,NA,1.8814884783536414,NA,0.7156771916085893,1.1586649055086553,0.6047901554829108,0.7811957969822338,1.8098212046437552e-16,-56.442238978705696,0.9999999999998396,1.8814884783536414,NA,28.746468437095118,0.7383453990408995,0.9562499008600365,1.2521533982921778,0.6113660396437465,0.6113660396437465,0.6820997026557585,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,29.0171402288592|25.452131779429|29.8012021076427|26.7058554228069|29.2879404499412|30.168367358162|6.06473492488141|5.98853822166254|3.99056195382939|1.83207810146703|3.07201396687323|0.353263158203386|1.17114569096393|1.96926509582936|3.6976099672418|2.20907739960522|3.57794342476853|0.943078133415828|1.69519189430074|2.73322141442547|2.54057338458374|7.3321688901769|0.876420811791764|3.6511595845781,dt4,Definitive_rep1
Tetrandrine,Cell_ER_Axial,Mahalanobis distance (cutoff = 1),12,0.8589065274341403,exp2,7.1818977880700805,1.6965017365520592,0.2383881052395496,3.3759637575511157,NA,NA,NA,NA,NA,0.16027864479921147,1.1586649055086553,5.65289890012754,6.523651313546237,2.3282078360923296e-4,-44.84789601841755,0.9997569649667237,8.89440252545351,NA,6.168578889538206,2.8027732036326194,4.312756903094665,6.1461034921981215,5.15409387762304,5.15409387762304,5.969447529512106,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,7.04591749029662|3.9440956376189|6.59539542612595|-0.136068890674901|0.207182346586526|0.573112111253549|2.67189164512095|2.23021079057021|-0.0506146000463966|2.05470639214463|0.331694879544399|-0.402612991923727|-0.228419691092514|0.510832794877152|0.68896855478869|-0.0973266553081296|1.75986265540834|1.15169267497793|0.193167744967006|5.61586338743565|1.61245451065644|2.53609841882902|1.11041312006711|0.447459204553369,dt4,Definitive_rep1
Tetrandrine,Cell_ER_Compactness,Mahalanobis distance (cutoff = 1),24,0.8589065274341403,pow,17.65167477953704,3.199157460465515,5.995675766369541,NA,NA,0.3852649252687055,NA,NA,NA,0.8720145720193107,1.1586649055086553,0.009827240735258782,0.02109432644357503,2.1043251122426776e-9,-60.95199670570832,0.9999999976792839,1.8382266767778295,NA,15.161138688288952,0.004664257906050047,0.028192979951658124,0.1704116999027001,0.006450292095710197,0.006450292095710197,0.014029446734775101,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,25.3802595280501|13.4307359828424|16.5862102014807|12.6896724934808|9.87550283576791|5.25074204732657|2.86712223908278|6.53318467111849|6.33298347839768|2.03276961505843|2.74877890719923|2.08814772723787|1.8784129297432|5.07168035402349|2.73426201729014|2.81203391469613|3.50781389354345|1.46158197026594|5.7643580707779|3.21121201117935|2.0025978561498|5.18547906336284|4.24955828383428|3.55088490145807,dt4,Definitive_rep1
Fluphenazine,NA_Position_Position,Mahalanobis distance (cutoff = 1),22,0.8589065274341403,exp2,11.955001203939167,3.1039793539274227,2.292974907193266,6.533015871413172,NA,NA,NA,NA,NA,0.4056856158479184,1.1586649055086553,2.506959124342436,2.890313895238788,2.522686964203287e-6,-54.04856996691283,0.9999974663719416,7.678148745620994,NA,10.268228569546357,1.3199801357753826,2.4175673883014195,4.178181244986941,2.078475698853515,2.078475698853515,2.6719993465704834,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,11.3431554279507|10.4420148457407|8.99267615309296|1.21473750263454|1.16958568914162|1.67108826398243|1.22769468733584|0.942700283763396|1.48093331700196|0.806744857910975|1.50137557788367|0.71339638218592|1.84925210568555|1.38248100844019|0.942358837493576|1.25558996073212|2.0785444095611|1.47021124995597|2.07115758435787|1.27472207673352|1.7410579225226|10.1188459701888|1.98032787167681|9.71996857273135,dt4,Definitive_rep1
Fluphenazine,Ring_Mito_Texture,Mahalanobis distance (cutoff = 1),14,0.8589065274341403,poly1,4.823688017011783,1.906447253648825,0.3728787411705542,NA,NA,NA,NA,NA,NA,0.4453853121889296,1.1586649055086553,2.1303152986311544,5.697686202039043,0.014042256372418283,-50.036461029266924,0.9833570920993657,5.55555555555555,NA,4.143097124117265,0.5555555555555551,1.1111111111111103,2.2222222222222205,2.303447294253972,2.303447294253972,3.1073503999486087,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,7.22034720456912|4.57862720012548|2.18994718961771|-0.154548127851699|1.65323970153175|-0.188323132753442|-0.57611571838925|-0.0485707484234301|1.633826905948|1.7680324314962|1.27332348298744|2.47760918737838|3.10170302888547|1.42138597265563|4.71458187974348|0.0580051980858146|1.51949399296749|3.4518657274532|0.00548476829450284|0.0172031079780581|2.9284954213844|-0.740032506834808|0.653863473495202|0.56397944150649,dt4,Definitive_rep1
Fluphenazine,Ring_AGP_Texture,Mahalanobis distance (cutoff = 1),11,0.8589065274341403,poly1,9.175334730703666,1.9278355969296401,0.70926794024351,NA,NA,NA,NA,NA,NA,0.24527346785977278,1.1586649055086553,1.3544355514769522,2.011384131348233,2.2158624165175586e-6,-47.35751685252926,0.9999868622021205,5.55555555555555,NA,7.880754891594548,0.555555555555555,1.11111111111111,2.22222222222222,1.2109761046569445,1.2109761046569445,1.6336067651822184,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,7.94128596271087|6.70941323819753|10.5234541235878|0.540013511761533|4.60287737044327|-0.232453670011694|0.731176301681684|0.453623509257147|2.08747916337175|-0.350633077759308|-0.332954365380228|1.98235691610856|-0.000462047019360812|1.289550909476|-0.472162804330571|0.211700152442661|6.47192046513453|3.59437872303192|0.418891480698333|1.09581325108815|-0.388464718429216|-0.391168798612662|1.12541630155696|0.0064148289362721,dt4,Definitive_rep1
Fluphenazine,Ring_AGP_Intensity,Mahalanobis distance (cutoff = 1),13,0.8589065274341403,exp4,1.4603444215467543,1.2373608607642665,NA,NA,1.2542993559685411,NA,NA,0.006498775632340786,NA,-0.20576204218663394,1.1586649055086553,0.006318868142654893,0.07305682853518305,2.2126600251592567e-4,-36.5101841807485,0.9587052119048107,0.006498775632340786,NA,1.2542993559685411,4.809131754658672e-4,9.8783399972111e-4,0.0020921384584198822,0.010823860930999721,0.010823860930999721,0.024131302311101496,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,4.62401762593082|0.958667532742965|1.08772877108508|0.566802214291239|4.96464378943088|-0.126380812199243|2.03975440765999|1.01938343217715|2.29576035070508|0.451443819913883|0.665300611881313|2.19593993177531|-0.29749048022754|1.46102437732615|0.61444373852426|1.79771690877997|1.44300079830267|1.97017907260944|0.461153649758778|1.66178293726296|0.16117284759904|0.0123537173352524|0.755275346503225|0.0251032053242067,dt4,Definitive_rep1
Fluphenazine,Cytoplasm_Mito_Texture,Mahalanobis distance (cutoff = 1),23,0.8589065274341403,poly1,16.468273166556493,2.9570137013162565,1.2730236586491497,NA,NA,NA,NA,NA,NA,0.988143901227327,1.1586649055086553,0.747775314998122,1.131204243316501,2.488316217286661e-6,-61.82089358057099,0.9999973704585953,5.55555555555555,NA,14.14470731832387,0.555555555555555,1.11111111111111,2.22222222222222,0.674698008633678,0.674698008633678,0.9101676136468316,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,19.9447183432014|12.5933620676847|13.8642182701481|2.68484380665999|4.31643521555715|1.64257683441482|1.7494907750066|1.78099653031448|2.66566140659695|4.04689507778027|3.3742958983114|2.96031138606556|4.51367898323677|2.97244619484022|5.33484058397721|2.54848864279409|3.35564283014348|3.80215863269362|3.33870864104681|1.98122724317463|3.67981699203485|0.701270599285459|2.28117284283464|3.6769734821986,dt4,Definitive_rep1
Fluphenazine,Cytoplasm_AGP_Texture,Mahalanobis distance (cutoff = 1),5,0.8589065274341403,exp2,9.011081610320453,1.7744682927966726,2.2535062143931833e-5,0.8716784016799741,NA,NA,NA,NA,NA,-0.6959025550603495,1.1586649055086553,9.400125381111042,9.509841727304766,3.0183557283967504e-9,-33.22212931159456,0.9999477066647963,10.506912222624054,NA,7.739676814345981,8.499844211631014,9.104020259183756,9.708208995922769,9.19478560655651,9.19478560655651,9.455728454467065,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,7.67331329546163|12.7967122661575|7.61393284759457|-0.352529190593243|6.76903666139761|-0.674667114623857|-0.325384643720279|-0.610148253440264|1.13126541062097|0.0983404183084932|-0.675518787187916|0.485793813130007|0.406964050261148|-0.225106122879386|-0.540458701882465|-0.222036780263122|0.186757931946388|-0.0925742025566518|0.241166636560407|-0.354088272332149|0.0695841536900714|-0.0993601563033|-0.357407920663622|0.45542284007256,dt4,Definitive_rep1
Fluphenazine,Cytoplasm_ER_Texture,Mahalanobis distance (cutoff = 1),19,0.8589065274341403,pow,4.537209079064161,2.003434381560028,1.8923744595688385,NA,NA,0.30000035436362527,NA,NA,NA,0.3975226401181327,1.1586649055086553,0.08109045742649514,0.6389409604746795,8.641936203664112e-4,-50.03862485506492,0.9990930701583165,1.1023648501883843,NA,3.8970384943416523,5.11677076828537e-4,0.0051573676833752795,0.051982866980059834,0.07185617605150049,0.07185617605150049,0.19491118211107736,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,6.95075500056221|4.64531954178221|3.66880383620078|0.452148856310069|2.5869018491352|0.0808096534752456|0.895877218636575|1.74199506655446|2.57920912592688|0.168951090854103|0.384820321230879|1.65522846478309|-0.250840631357614|2.57317773328822|1.65194007144397|1.0691654823047|5.09675718321949|2.73542555530086|2.11893418580837|1.31842827736891|1.05120900049503|1.76753719622451|5.97350546030727|2.06608916627512,dt4,Definitive_rep1
Fluphenazine,Cytoplasm_Mito_Intensity,Mahalanobis distance (cutoff = 1),23,0.8589065274341403,exp2,15.170935089386896,2.1663913522165927,3.8767118016160507,7.544475810381096,NA,NA,NA,NA,NA,0.5145264981240194,1.1586649055086553,1.7942059248293554,2.177814174776165,3.764751007286053e-7,-51.75354827621111,0.9999994934369756,7.4391639952867665,NA,13.030415175554047,1.171991913997526,2.1861636068922348,3.879100869519318,1.5098381047111658,1.5098381047111658,1.9728881239816245,11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838,20.2404325573672|10.8839110415484|13.3409380548001|2.1851288522942|2.36685027557102|1.39189034905729|1.20085491505932|1.13997835460308|1.53971499630428|1.88199428759457|1.81200433862171|1.68704605257399|2.13482484232931|1.62450306372662|2.57473129103219|1.89416019672143|1.71487081857692|2.24394770741577|2.14837090589889|1.37015001492316|2.3177075008405|0.453539962091701|1.81835367582925|2.54078431044581,dt4,Definitive_rep1
