"","name","assay","n_gt_cutoff","cutoff","fit_method","top_over_cutoff","rmse","a","b","tp","p","q","ga","la","er","bmr","bmdl","bmdu","caikwt","mll","hitcall","ac50","ac50_loss","top","ac5","ac10","ac20","acc","ac1sd","bmd","conc","resp","errfun","exp"
"11","Ca-074-Me","Mahalanobis distance (cutoff = 1)",13,3.44888860187997,"exp5",12.7290151020939,5.02569001659998,NA,NA,43.9009550987696,2.83013484027904,NA,5.0928987661289,NA,1.23944618506285,4.65255072393608,2.35655724044845,2.99534095239703,1.99763882983045e-14,-71.0709924872478,0.999999999018228,5.0928987661289,NA,43.9009550987696,2.02964705542554,2.61746410719149,3.41221618830782,2.39372573758023,2.39372573758023,2.67481080070658,"10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01","51.2912418821656|43.3379687863105|35.168409019917|32.0653984374514|38.7295427554172|47.8650525979682|5.89434761787047|9.9930508569808|5.51611005286141|-0.0278575460357295|1.71620403834612|4.80406642981386|4.71641386211421|3.33118299102426|4.47790156541269|1.20347638232998|2.40536396391083|-1.80536023413237|0.637782241384656|0.851328797052467|0.20334177946582|15.5268293352447|2.33735620020586|0.157689614842742","dt4","Definitive_rep2"
"12","Tetrandrine","Mahalanobis distance (cutoff = 1)",23,3.44888860187997,"poly2",23.5851145256525,10.4811819151263,-343.060432971246,-18.1097754715434,NA,NA,NA,NA,NA,1.92208305571765,4.65255072393608,0.229236711986142,0.280048079911287,5.36393732285375e-14,-85.5829737582,0.999999999996839,2.48910345372583,NA,81.3424326615565,0.2173063335711,0.440092429229872,0.903912061669766,0.18393104761172,0.18393104761172,0.249027305803595,"11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838","77.0832466174788|85.6243553436316|81.027005050566|54.5676147518467|57.0278335062404|59.7977842102319|14.0225945531766|14.2501650534037|19.3515405086107|7.74757476643548|15.0437886059245|10.420317303679|9.73314392078466|23.6545842724317|8.40529548098881|18.2790541836613|36.1034642864683|9.92274546998392|2.67612810621902|4.16778524759344|5.90252768659062|6.82980901928481|9.4628172460967|4.10803218295364","dt4","Definitive_rep2"
"13","Fluphenazine","Mahalanobis distance (cutoff = 1)",19,3.44888860187997,"pow",7.18087326935214,11.5614306765649,12.0244586126108,NA,NA,0.300060865133021,NA,NA,NA,2.08145800347189,4.65255072393608,0.0180789960101287,0.141505327975762,0.000161940188265788,-91.2241748190012,0.99983250629789,1.10287860221615,NA,24.7660319702131,0.000512708502323112,0.00516535648209717,0.0520391362075145,0.0155744307012291,0.0155744307012291,0.0422374255910248,"11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838","54.5899959508027|34.7642644724689|27.5963760277632|3.80634550956625|4.1270590194204|3.77628036023212|11.4279237802677|11.3329163872665|8.51590818078834|10.454733581238|14.8224111883094|7.04478782779787|9.26408495675026|3.19360784745659|2.80480426965603|2.05110341157968|35.9252805503232|5.91697733246762|2.46957853228218|10.1651614381218|3.38561234286962|13.7293961916571|17.9953193219305|11.5881383919881","dt4","Definitive_rep2"
"14","Berberine chloride","Mahalanobis distance (cutoff = 1)",23,3.44888860187997,"pow",11.9443621945104,4.8206846064433,7.26641943260061,NA,NA,0.37676083431084,NA,NA,NA,1.41237545755235,4.65255072393608,0.248743983333677,0.376997475723014,8.76487163863793e-17,-72.8078321226604,0.999999999999995,15.8856530107406,NA,41.1947746293729,0.035220974929421,0.221715625448997,1.39569727035515,0.13835347639703,0.13835347639703,0.306244483132762,"100|100|100|75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285","38.2771091250604|37.6361717114484|42.3840988395479|47.5456701278655|45.9604279638671|43.94540036332|22.1262984394553|23.9337941139327|25.5781655841625|18.7017146210094|15.1581884461449|11.4724792244399|15.6324398279836|11.7488908278971|7.2917623466514|10.230421583612|3.08683375909217|16.0819078715638|5.46504206152786|5.60865905995487|9.64688348777821|3.78500890740917|10.0069551879763|6.29554132539029","dt4","Definitive_rep2"
"15","Rapamycin","Mahalanobis distance (cutoff = 1)",24,3.44888860187997,"pow",12.9848637437963,10.1018799386352,18.2308432277456,NA,NA,0.300000621493811,NA,NA,NA,2.22952470926688,4.65255072393608,0.00663481405447926,0.0180791154442712,1.93915344758866e-10,-91.482162892426,0.9999999997789,1.98426081261932,NA,44.7833485629434,0.000921026927698057,0.00928332527498999,0.0935696075430279,0.00388668814213675,0.00388668814213675,0.0105427027819472,"20|20|20|15|15|15|6.32455532033676|6.32455532033676|6.32455532033676|2|2|2|0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02","54.5823853399463|62.7823585234633|53.4126064337161|41.85935201825|32.1238236364187|33.147255519523|17.777420582023|21.0684983951844|18.6403792807055|9.87958753972785|22.2860235556326|18.5638204158343|15.075351225646|11.6941650093455|20.9035603465538|23.0591741733282|18.5568788641349|22.1490696208304|17.5499808445864|17.9680238956625|13.7343956554171|14.119828614224|18.0848765358228|24.4255904913133","dt4","Definitive_rep2"
"16","Amperozide","Mahalanobis distance (cutoff = 1)",21,3.44888860187997,"exp3",24.8810629841643,8.13964461100997,7.53474403972538,3.62174893878649,NA,0.304562716854059,NA,NA,NA,2.07761105103667,4.65255072393608,0.298520043795089,0.3663101116042,7.03617901436141e-13,-74.6392959709349,0.999999999849237,29.8629719236562,NA,85.8120145287418,0.264580685755755,1.47270423325044,6.3615826448816,0.147038283723927,0.147038283723927,0.32725534551412,"75|75|75|33.3333333333333|33.3333333333333|33.3333333333333|11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285","92.310600725864|87.6288781479403|80.9175269136714|38.8348358556261|55.542613214492|44.147511495559|9.32847452583159|17.7914778534315|9.49544923260101|14.0287172807477|16.1398534698739|10.4514465432593|8.56240732610263|11.3647390493209|5.11897604985183|10.4537549607429|9.24416104486564|9.04484477485311|13.9468737833128|22.634309626741|16.851866551705","dt4","Definitive_rep2"
"17","Fenbendazole","Mahalanobis distance (cutoff = 1)",17,3.44888860187997,"poly1",11.8206758084749,15.4523816812611,64.4601746644167,NA,NA,NA,NA,NA,NA,2.1505518676214,4.65255072393608,0.0575763796432879,0.0937738258976079,7.73490189591373e-05,-71.5249749328339,0.99991524544927,0.316227766016838,NA,40.7681940623673,0.0316227766016838,0.0632455532033676,0.126491106406735,0.0535041771114502,0.0535041771114502,0.0721771349233463,"0.632455532033676|0.632455532033676|0.632455532033676|0.2|0.2|0.2|0.0632455532033676|0.0632455532033676|0.0632455532033676|0.02|0.02|0.02|0.00632455532033676|0.00632455532033676|0.00632455532033676|0.002|0.002|0.002","87.8013672759825|42.9690398042973|34.7085858057793|7.02062817703642|13.3010223219249|5.5131026278678|7.43967740694248|3.91587545612866|4.93631838548811|12.993679255233|12.7977642220432|4.59094212960229|11.0099491224095|3.64422439304386|4.61453592178276|36.0777369394436|15.1121568042973|2.44973151510388","dt4","Definitive_rep2"
"18","Latrunculin B","Mahalanobis distance (cutoff = 1)",17,3.44888860187997,"poly2",32.7873258120053,12.5023072967544,-518.113842818862,-4.66290740291313,NA,NA,NA,NA,NA,2.37206825864815,4.65255072393608,0.0394126176299701,0.0464325969013032,4.76481939102777e-12,-69.8155846001006,0.99999999980384,0.581318733460511,NA,113.07983427915,0.0514523930244358,0.104093027728818,0.213295355226914,0.0312486311322901,0.0312486311322901,0.0422548132490577,"3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01","102.340524167584|115.890259038747|118.731069522063|77.0061187463655|93.2717590824303|113.102471614078|16.7791514032978|29.5440319727259|18.739182514321|6.97996946472014|9.27111227808585|26.8723295215218|4.51418705455872|22.6108206206524|13.9230124704652|2.57375166201273|12.6144394231617|23.5729763148062","dt4","Definitive_rep2"
"19","Taxol","Mahalanobis distance (cutoff = 1)",12,3.44888860187997,"exp4",20.989051605544,8.30878807476914,NA,NA,72.3889008466313,NA,NA,0.0280330104328766,NA,1.86261556998799,4.65255072393608,0.0022559687970534,0.00329885212759845,1.78212086721127e-08,-42.4090155514892,0.999999978595072,0.0280330104328766,NA,72.3889008466313,0.00207445907165234,0.00426110430437461,0.00902461364261352,0.00197427958122522,0.00197427958122522,0.00268663492020662,"0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838","70.3428727604837|55.3852493647617|80.6736944051491|40.6213965525198|33.7190060768653|41.4837076021278|15.9655337356369|11.5931480067055|15.3467006776043|13.5796777037996|11.3148141818369|24.0049683072489","dt4","Definitive_rep2"
"20","Etoposide","Mahalanobis distance (cutoff = 1)",9,3.44888860187997,"poly1",8.3370817262299,3.68431423240348,90.9270760778326,NA,NA,NA,NA,NA,NA,1.1735630252057,4.65255072393608,0.0445038097983445,0.0593737982279893,1.79348324734223e-07,-33.376818628079,0.999981473780348,0.158113883008419,NA,28.7536661385361,0.0158113883008419,0.0316227766016838,0.0632455532033676,0.0379302706151879,0.0379302706151879,0.0511679350598885,"0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01","23.5352483060571|35.4161793465124|28.4589639355885|7.41215633060117|10.383384376133|10.0137430630181|7.28580405800238|3.49973112622429|-1.28653393419342|-1.00723941991999|-2.61798521769826|6.61594080093027","dt4","Definitive_rep2"
"21","Ca-074-Me","Mahalanobis distance (cutoff = 1)",16,4.0050501989239,"pow",8.70291348389227,3.91911684833426,7.63105665592272,NA,NA,0.659687952123852,NA,NA,NA,1.15387722056988,5.40281271834835,0.527903498639228,0.674316663130007,6.59787260022532e-15,-67.2312484172284,0.999999999964646,3.49685961207817,NA,34.8556053798803,0.106612954717161,0.304881998547838,0.871873716333292,0.376350240181245,0.376350240181245,0.592479297705708,"10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|1|1|1|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01","31.3804991664709|40.4071472001409|34.8795925101702|19.3250120274594|31.9993503937504|29.3849997896233|8.86472324326807|19.18694200457|16.8928300669002|6.36028715070763|6.29684986955195|2.25534181874809|3.50052703374421|4.10221690362245|7.33315627220091|7.4546753358337|3.64698411774884|0.832434484024628|2.39374048295691|4.90820912385547|7.19743527212514|0.347964285139558|-3.48615139351927|1.11446739878245","dt4","Definitive_rep3"
"22","Tetrandrine","Mahalanobis distance (cutoff = 1)",16,4.0050501989239,"exp5",17.2569672602758,7.88472079956551,NA,NA,69.1150201585909,2.36579773745585,NA,2.86551780251862,NA,1.79321394434542,5.40281271834835,1.05170232538391,1.27307035504363,2.84371726699634e-13,-83.1538354814566,0.999999999961357,2.86551780251862,NA,69.1150201585909,0.953322081971401,1.29234951158374,1.77475134160323,1.01644411406159,1.01644411406159,1.15879546333926,"11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838","68.032268190166|76.2005872894105|64.0716311808675|46.0196089372729|52.7176063472162|50.6559554937641|6.0998453809175|7.16177700647505|2.59136324799883|11.4614588729442|12.3875021144579|3.27623934841137|2.04837267753418|7.5588963278348|1.61053080672033|21.7971735911438|9.55241143083745|16.5286581034336|2.88409476999095|3.98108557963812|2.76341607339743|9.05846335465974|8.66852934168688|3.99643193753293","dt4","Definitive_rep3"
"23","Etoposide","Mahalanobis distance (cutoff = 1)",17,4.0050501989239,"exp4",8.74988772902704,5.14243360184001,NA,NA,35.0437395897016,NA,NA,0.515530811139077,NA,1.49790569148383,5.40281271834835,0.0842209996489389,0.181890303587316,5.88383767445828e-14,-65.2628051906827,0.999999999991877,0.515530811139077,NA,35.0437395897016,0.0381495797764736,0.0783622780593755,0.16596385188574,0.0902638232336394,0.0902638232336394,0.124534805994133,"10|10|10|7.5|7.5|7.5|3.16227766016838|3.16227766016838|3.16227766016838|0.316227766016838|0.316227766016838|0.316227766016838|0.1|0.1|0.1|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01","32.2058703243767|33.2967755749532|26.616147058192|37.4495445322057|29.8724679444893|33.6756789444063|41.0863092815445|42.9950170371962|45.5778373416596|7.76008702179817|12.1586004810854|7.04631294913408|8.65757007057696|4.54812587630821|9.59480960073194|2.60440703917376|8.83419335241569|7.50835054447914|3.13406880851992|-3.04465764360612|-0.576767211117552","dt4","Definitive_rep3"
"24","Fluphenazine","Mahalanobis distance (cutoff = 1)",18,4.0050501989239,"hill",4.13948630897931,6.16812539001191,NA,NA,16.5788504652204,0.300000000001123,NA,1.20563555626103,NA,1.74862776170012,5.40281271834835,0.00202201681686497,0.720035255788984,0.000667661806539683,-79.1727191858485,0.999247385952575,1.20563555626103,NA,16.5788504652204,6.58724845715428e-05,0.000795074240060571,0.0118672313739161,0.026608521028547,0.026608521028547,0.106902917953784,"11.1111111111111|11.1111111111111|11.1111111111111|3.7037037037037|3.7037037037037|3.7037037037037|1.23456790123457|1.23456790123457|1.23456790123457|0.411522633744856|0.411522633744856|0.411522633744856|0.137174211248285|0.137174211248285|0.137174211248285|0.0316227766016838|0.0316227766016838|0.0316227766016838|0.01|0.01|0.01|0.00316227766016838|0.00316227766016838|0.00316227766016838","18.9722535336606|17.1785341983935|9.04014523006078|1.84633619276821|1.93892413684047|3.67649212487761|5.66963593140966|1.48969860092383|14.5026561269464|2.34103166412691|5.24190104613088|4.31984702025001|6.53479217903633|7.65727516632932|3.4219049593964|10.7450303727256|9.24515224792463|18.0467471473983|9.35735907400144|14.7162724536898|8.71154687972215|5.81492030103437|8.31039590077171|4.82900229065327","dt4","Definitive_rep3"
